Identity,Name,Origin name,Destination name,Flight price,Flight sale price,Flight description,Final URL,ImageURL
DEL,GLA,New Delhi,Glasgow,58609 INR,52749 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DEL&to=GLA&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_GLASGOW.jpg
DEL,MRU,New Delhi,Plaisance,29108 INR,26198 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DEL&to=MRU&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_PLAISANCE.png
DMK,DEL,Bangkok,New Delhi,13304 INR,11974 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DMK&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
DOH,CCJ,Doha,Kozhikode,11467 INR,10321 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DOH&to=CCJ&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KOZHIKODE.png
HYD,FRA,Hyderabad,Frankfurt,44121 INR,39509 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=HYD&to=FRA&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_FRANKFURT.png
HYD,IAD,Hyderabad,Washington,71502 INR,64152 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=HYD&to=IAD&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_WASHINGTON.jpg
IST,DEL,Istanbul,New Delhi,23740 INR,20654 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=IST&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
IXE,DOH,Mangalore,Doha,36905 INR,33215 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=IXE&to=DOH&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DOHA.png
JED,HYD,Jeddah,Hyderabad,13650 INR,12285 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=JED&to=HYD&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_HYDERABAD.png
JFK,BOM,New York,Mumbai,42151 INR,36136 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=JFK&to=BOM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MUMBAI.png
KBV,BKK,Krabi,Bangkok,7941 INR,7147 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=KBV&to=BKK&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_BANGKOK.png
LHR,COK,London,Kochi,55344 INR,49810 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=LHR&to=COK&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_KOCHI.png
LKO,DMM,Lucknow,Dammam,16934 INR,15241 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=LKO&to=DMM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DAMMAM.png
MAA,DMM,Chennai/Madras,Dammam,17304 INR,15574 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=MAA&to=DMM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DAMMAM.png
